ORDERNUMBER,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,orderdetailid,dealsizeid,productid,SALES
10107,S10_1678,30,95.7,2,1,1,1,2871.0
10121,S10_1678,34,81.35,5,2,1,1,2765.9
10134,S10_1678,41,94.74,2,3,2,1,3884.34
10145,S10_1678,45,83.26,6,4,2,1,3746.7
10168,S10_1678,36,96.66,1,5,2,1,3479.76
10180,S10_1678,29,86.13,9,6,1,1,2497.77
10188,S10_1678,48,114.84,1,7,2,1,5512.32
10211,S10_1678,41,114.84,14,8,2,1,4708.44
10223,S10_1678,37,107.18,1,9,2,1,3965.66
10237,S10_1678,23,101.44,7,10,1,1,2333.12
10251,S10_1678,28,113.88,2,11,2,1,3188.64
10263,S10_1678,34,108.14,2,12,2,1,3676.76
10275,S10_1678,45,92.83,1,13,2,1,4177.35
10285,S10_1678,36,113.88,6,14,2,1,4099.68
10299,S10_1678,23,112.93,9,15,1,1,2597.39
10309,S10_1678,41,107.18,5,16,2,1,4394.38
10318,S10_1678,46,94.74,1,17,2,1,4358.04
10329,S10_1678,42,104.67,1,18,2,1,4396.14
10341,S10_1678,41,188.73,9,19,3,1,7737.93
10361,S10_1678,20,72.55,13,20,1,1,1451.0
10375,S10_1678,21,34.91,12,21,1,1,733.11
10388,S10_1678,42,76.36,4,22,2,1,3207.12
10403,S10_1678,24,101.44,7,23,1,1,2434.56
10417,S10_1678,66,113.88,2,24,3,1,7516.08
10103,S10_1949,26,207.87,11,25,2,2,5404.62
10112,S10_1949,29,248.59,1,26,3,2,7209.11
10126,S10_1949,38,192.87,11,27,3,2,7329.06
10140,S10_1949,37,199.3,11,28,3,2,7374.1
10150,S10_1949,45,244.3,8,29,3,2,10993.5
10163,S10_1949,21,231.44,1,30,2,2,4860.24
10174,S10_1949,34,235.73,4,31,3,2,8014.82
10183,S10_1949,23,233.59,8,32,2,2,5372.57
10194,S10_1949,42,173.58,11,33,3,2,7290.36
10206,S10_1949,47,192.87,6,34,3,2,9064.89
10215,S10_1949,35,173.58,3,35,2,2,6075.3
10228,S10_1949,29,222.87,2,36,2,2,6463.23
10245,S10_1949,34,180.01,9,37,2,2,6120.34
10258,S10_1949,32,240.02,6,38,3,2,7680.64
10270,S10_1949,21,233.59,9,39,2,2,4905.39
10280,S10_1949,34,235.73,2,40,3,2,8014.82
10291,S10_1949,37,192.87,11,41,3,2,7136.19
10304,S10_1949,47,216.44,6,42,3,2,10172.7
10312,S10_1949,48,242.16,3,43,3,2,11623.7
10322,S10_1949,40,150.01,1,44,2,2,6000.4
10347,S10_1949,30,131.49,1,45,2,2,3944.7
10357,S10_1949,32,177.87,10,46,2,2,5691.84
10369,S10_1949,41,110.12,2,47,2,2,4514.92
10391,S10_1949,24,100.69,4,48,1,2,2416.56
10411,S10_1949,23,180.01,9,49,2,2,4140.23
10424,S10_1949,50,240.02,6,50,3,2,12001.0
10107,S10_2016,39,99.91,5,51,1,3,3896.49
10120,S10_2016,29,96.34,3,52,1,3,2793.86
10134,S10_2016,27,122.51,5,53,2,3,3307.77
10145,S10_2016,37,140.35,9,54,2,3,5192.95
10168,S10_2016,27,135.59,4,55,2,3,3660.93
10180,S10_2016,42,111.8,12,56,1,3,4695.6
10188,S10_2016,38,96.34,4,57,2,3,3660.92
10210,S10_2016,23,130.83,2,58,2,3,3009.09
10223,S10_2016,47,115.37,4,59,2,3,5422.39
10236,S10_2016,22,129.64,1,60,1,3,2852.08
10251,S10_2016,44,130.83,5,61,2,3,5756.52
10263,S10_2016,40,111.8,5,62,2,3,4472.0
10275,S10_2016,22,132.02,4,63,2,3,2904.44
10285,S10_2016,47,137.97,9,64,2,3,6484.59
10298,S10_2016,39,96.34,1,65,2,3,3757.26
10308,S10_2016,34,118.94,2,66,2,3,4043.96
10318,S10_2016,45,123.7,4,67,2,3,5566.5
10329,S10_2016,20,158.8,2,68,2,3,3176.0
10339,S10_2016,40,68.92,4,69,1,3,2756.8
10361,S10_2016,26,51.15,8,70,1,3,1329.9
10374,S10_2016,39,135.59,5,71,2,3,5288.01
10388,S10_2016,50,44.51,5,72,2,3,2225.5
10402,S10_2016,45,129.64,1,73,2,3,5833.8
10417,S10_2016,45,130.83,5,74,3,3,5887.35
10107,S10_4698,27,224.65,4,75,1,4,6065.55
10120,S10_4698,46,201.41,2,76,1,4,9264.86
10134,S10_4698,31,226.58,4,77,2,4,7023.98
10145,S10_4698,33,156.86,8,78,2,4,5176.38
10168,S10_4698,20,209.15,3,79,2,4,4183.0
10180,S10_4698,41,216.9,11,80,1,4,8892.9
10188,S10_4698,45,193.66,3,81,2,4,8714.7
10210,S10_4698,34,180.1,1,82,2,4,6123.4
10223,S10_4698,49,199.47,3,83,2,4,9774.03
10237,S10_4698,39,180.1,9,84,1,4,7023.9
10251,S10_4698,43,164.61,4,85,2,4,7078.23
10263,S10_4698,41,203.34,4,86,2,4,8336.94
10275,S10_4698,36,191.72,3,87,2,4,6901.92
10285,S10_4698,27,201.41,8,88,2,4,5438.07
10299,S10_4698,29,230.46,11,89,1,4,6683.34
10308,S10_4698,20,228.52,1,90,2,4,4570.4
10318,S10_4698,37,207.22,3,91,2,4,7667.14
10329,S10_4698,26,225.7,3,92,2,4,5868.2
10339,S10_4698,39,76.67,3,93,1,4,2990.13
10362,S10_4698,22,166.55,4,94,2,4,3664.1
10374,S10_4698,22,174.29,1,95,2,4,3834.38
10388,S10_4698,21,86.77,7,96,2,4,1822.17
10403,S10_4698,66,180.1,9,97,1,4,11886.6
10417,S10_4698,56,164.61,4,98,3,4,9218.16
10105,S10_4757,50,144.16,2,99,3,5,7208.0
