DETAILSID,ORDERNUMBER,QUANTITYORDERED,PRODUCTCODE,PRICEEACH,SALES,DEALSIZEID
1,10107,30,S10_1678,95.7,2871.0,1.0
2,10121,34,S10_1678,81.35,2765.9,
3,10134,41,S10_1678,94.74,3884.34,2.0
4,10145,45,S10_1678,83.26,3746.7,
5,10168,36,S10_1678,96.66,3479.76,
6,10180,29,S10_1678,86.13,2497.77,
7,10188,48,S10_1678,114.84,5512.32,
8,10211,41,S10_1678,114.84,4708.44,
9,10223,37,S10_1678,107.18,3965.66,
10,10237,23,S10_1678,101.44,2333.12,
11,10251,28,S10_1678,113.88,3188.64,
12,10263,34,S10_1678,108.14,3676.76,
13,10275,45,S10_1678,92.83,4177.35,
14,10285,36,S10_1678,113.88,4099.68,
15,10299,23,S10_1678,112.93,2597.39,
16,10309,41,S10_1678,107.18,4394.38,
17,10318,46,S10_1678,94.74,4358.04,
18,10329,42,S10_1678,104.67,4396.14,
19,10341,41,S10_1678,188.73,7737.93,3.0
20,10361,20,S10_1678,72.55,1451.0,
21,10375,21,S10_1678,34.91,733.11,
22,10388,42,S10_1678,76.36,3207.12,
23,10403,24,S10_1678,101.44,2434.56,
24,10417,66,S10_1678,113.88,7516.08,
25,10103,26,S10_1949,207.87,5404.62,
26,10112,29,S10_1949,248.59,7209.11,
27,10126,38,S10_1949,192.87,7329.06,
28,10140,37,S10_1949,199.3,7374.1,
29,10150,45,S10_1949,244.3,10993.5,
30,10163,21,S10_1949,231.44,4860.24,
31,10174,34,S10_1949,235.73,8014.82,
32,10183,23,S10_1949,233.59,5372.57,
33,10194,42,S10_1949,173.58,7290.36,
34,10206,47,S10_1949,192.87,9064.89,
35,10215,35,S10_1949,173.58,6075.3,
36,10228,29,S10_1949,222.87,6463.23,
37,10245,34,S10_1949,180.01,6120.34,
38,10258,32,S10_1949,240.02,7680.64,
39,10270,21,S10_1949,233.59,4905.39,
40,10280,34,S10_1949,235.73,8014.82,
41,10291,37,S10_1949,192.87,7136.19,
